ITEM CODE,IE Trade,IE High,IE Mid,IE Low,IE Base,IE EDM,IE ANEW
,,,,,,,
IEZ51697949,6.59,2.62,2.38,2.26,2.15,2.49,2.49
IEZ51597949,8.36,3.32,3.02,2.87,2.72,3.17,3.17
IEZ51693269,14.9,5.96,5.26,4.92,4.57,5.65,5.52
IEZ51593269,14.99,6,5.3,4.95,4.6,5.69,5.55
,,,,,,,
IEZ51697949-XFG,6.69,2.66,2.41,2.3,2.18,2.53,2.54
IEZ51597949-XFG,5.71,2.27,2.06,1.96,1.86,2.16,2.17
IEZ51693269-XFG,15.5,6.2,5.48,5.12,4.75,5.88,5.74
IEZ51593269-XFG,10.47,4.19,3.7,3.45,3.21,3.97,3.88
,,,,,,,
IEZ27ITY7949,11.18,4.47,3.95,3.69,3.43,4.24,4.14
IEZ27ITY3269,16.26,6.51,5.7,5.43,5.16,6.17,5.98
,,,,,,,
IEZ27ITY7949-XFG,13.45,5.38,4.75,4.44,4.12,5.1,4.98
IEZ27ITY3269-XFG,18.14,7.25,6.34,6.04,5.74,6.87,6.66
,,,,,,,
IEZ03697949,15.37,6.17,5.52,5.19,4.87,5.85,5.79
IEZ03597949,17.03,6.84,6.11,5.75,5.4,6.49,6.41
IEZ03693269,18.52,7.42,6.59,6.18,5.77,7.04,6.92
IEZ03593269,16.83,6.74,5.99,5.62,5.25,6.4,6.29
,,,,,,,
IEZ03697949-XFG,12.68,5.09,4.55,4.28,4.02,4.83,4.77
IEZ03597949-XFG,11,4.42,3.95,3.72,3.49,4.19,4.14
IEZ03693269-XFG,15.88,6.36,5.65,5.3,4.95,6.04,5.93
IEZ03593269-XFG,23.55,9.43,8.39,7.86,7.34,8.96,8.8
,,,,,,,
,,,,,,,
IEZ85ITY7949,14.67,5.88,5.14,4.9,4.66,5.57,5.4
IEZ85ITY3269,19.81,7.93,6.9,6.52,6.14,7.52,7.25
,,,,,,,
IEZ85ITY7949-XFG,20.46,8.17,7.15,6.81,6.48,7.75,7.51
IEZ85ITY3269-XFG,16.38,6.55,5.7,5.39,5.07,6.22,5.99
,,,,,,,
IEZ87ITYD7969-69,28.36,11.35,9.73,9.19,8.65,10.79,10.22
IEZ87ITYD7969-59,22.12,8.86,7.59,7.17,6.75,8.41,7.97
IEZ87ITYD3269-69,27.82,11.14,9.66,9.14,8.62,10.58,10.15
IEZ87ITYD3269-59,31.91,12.77,11.09,10.49,9.89,12.14,11.64
,,,,,,,
IEZ87ITYD7969-69XFG,22.35,8.95,7.67,7.24,6.82,8.5,8.06
IEZ87ITYD7969-59XFG,38.57,15.44,13.24,12.5,11.76,14.67,13.9
IEZ87ITYD3269-69XFG,45.75,17.96,15.58,14.74,13.89,17.55,16.36
IEZ87ITYD3269-59XFG,41,16.41,14.24,13.47,12.7,15.59,14.96
,,,,,,,
IEZ03773269,18.7,7.45,6.62,6.21,5.8,7.1,7.1
IEZ03773269-XFG,20.4,8.55,7.61,7.13,6.66,8.15,8.15
,,,,,,,
IEZO4757969-69,13.31,5.34,4.68,4.49,4.3,5.08,5.08
IEZO4757969-59,7.54,3.02,2.65,2.54,2.43,2.88,2.88
